Timestamp,Candle Type,Sym,High,Low,Open,Close,SMA44,RSI14,BB Middle,BB Upper,BB Lower,Volume Prev Day Avg,Volume P Last,Volume P 2nd Last,Volume P 3rd Last,Low Day,High Day,MA Direction,MA Trend Count,Acheieved
2024-12-06 09:15:00,F,RELIANCE,1322.75,1315.6500244140625,1322.199951171875,1317.4000244140625,1314.16,49.414403159199146,1318.5000061035157,1329.92522502682,1307.0747871802114,376099.4583333333,1151121,2019353,2102440,1310,1323.9000244140625,BULLISH,5,false
2024-12-06 09:15:00,F,TCS,4455.64990234375,4413,4455.64990234375,4418.75,4394.19,50.41898183639989,4420.09248046875,4492.684937816052,4347.500023121448,76751.54166666667,245300,382726,531832,4412.75,4465,BULLISH,95,false
2024-12-06 09:15:00,F,HDFCBANK,1861.800048828125,1853.1500244140625,1856.949951171875,1856.699951171875,1858.59,46.70697285199185,1860.9599975585938,1883.175941454546,1838.7440536626416,370455.9166666667,1744323,2517554,2139258,1844,1864.199951171875,BEARISH,3,false
2024-12-06 09:15:00,F,ICICIBANK,1346.8499755859375,1341.0999755859375,1345.4000244140625,1343,1319.79,66.21631470722576,1325.6100036621094,1346.1455937571427,1305.0744135670761,372593.2916666667,2010357,3359470,2082861,1326.699951171875,1347.0999755859375,BULLISH,72,false
2024-12-06 09:15:00,F,BHARTIARTL,1624.550048828125,1611.199951171875,1616.5999755859375,1621,1596.53,61.235754837529875,1603.9050048828126,1622.908992100762,1584.9010176648633,179007.83333333334,858037,1359511,1008204,1594.800048828125,1624.6500244140625,BULLISH,5,false
2024-12-06 09:15:00,F,INFY,1935.300048828125,1921.6500244140625,1933.199951171875,1928.25,1906.27,55.47297137065871,1919.2275085449219,1953.8112357935809,1884.643781296263,148857.375,882309,1345335,1130643,1912.4000244140625,1937.949951171875,BULLISH,28,false
2024-12-06 09:15:00,F,SBIN,865.0999755859375,860.5,865,863.2999877929688,861.06,49.41921981165686,864.6774993896485,873.0258143884248,856.3291843908721,604944.125,914595,2009705,1749146,857,875.4500122070312,BULLISH,85,true
2024-12-06 09:15:00,F,LICI,987.5,975.2000122070312,977.7000122070312,986.25,973.38,69.47446127878561,974.1949981689453,982.016762177963,966.3732341599276,55357.166666666664,81006,135484,101812,975.2000122070312,992.9500122070312,BULLISH,3,false
2024-12-06 09:15:00,F,HINDUNILVR,2495.800048828125,2484.550048828125,2486.14990234375,2493.449951171875,2478.54,54.08019188113716,2483.765002441406,2515.383750790837,2452.146254091975,54500.208333333336,197663,287279,376615,2475,2495.800048828125,BULLISH,5,false
2024-12-06 09:15:00,F,ITC,473.79998779296875,468.3999938964844,469.70001220703125,473.20001220703125,469,60.75532605574841,467.6125,472.97849355583264,462.2465064441674,314567.7916666667,2179647,3135600,3615320,467.70001220703125,474.95001220703125,BEARISH,0,false
2024-12-06 09:15:00,F,LT,3835.050048828125,3800,3835.050048828125,3804.5,3799.55,48.177299311411964,3813.014990234375,3873.101513083829,3752.928467384921,77351.54166666667,197197,293795,354768,3800,3883.949951171875,BEARISH,3,false
2024-12-06 09:15:00,F,HCLTECH,1927.5,1918.0999755859375,1926,1919.5999755859375,1900.92,55.791166030220516,1908.7749938964844,1936.1018891170565,1881.4480986759122,93765.75,450267,481632,384890,1915.300048828125,1939.3499755859375,BULLISH,86,false
2024-12-06 09:15:00,F,SUNPHARMA,1823.75,1811.300048828125,1814.199951171875,1817.5,1799.24,56.78638035175769,1802.7675048828125,1830.7737924268022,1774.761217338823,66269.41666666667,296857,448730,366262,1801,1823.949951171875,BULLISH,5,false
2024-12-06 09:15:00,F,BAJFINANCE,6870.89990234375,6834.7998046875,6870.89990234375,6857.25,6763.94,59.97987242219623,6803.40751953125,6919.014665528128,6687.800373534372,34704,99080,170215,171246,6778.64990234375,6935,BULLISH,97,false
2024-12-06 09:15:00,F,M&M,3095,3067.64990234375,3081.14990234375,3081.949951171875,3043.7,57.95671754535938,3055.577502441406,3095.2198913071948,3015.9351135756174,112029.25,392287,482744,407769,3065.949951171875,3099,BULLISH,17,false
2024-12-06 09:15:00,F,AXISBANK,1171.75,1166,1168.8499755859375,1167.75,1161.66,53.54713378274813,1165.2100158691405,1179.2600003901823,1151.1600313480988,314214.9166666667,1484344,1834201,1025959,1160,1193.8499755859375,BULLISH,5,true
2024-12-06 09:15:00,F,NTPC,370.95001220703125,368.1000061035156,370.1499938964844,370.6000061035156,369.87,54.48689455868047,368.4125,372.1240859960106,364.70091400398945,405556.1666666667,1396778,2002604,2151642,368.04998779296875,371.20001220703125,BEARISH,9,false
2024-12-06 09:15:00,F,KOTAKBANK,1777.949951171875,1770.300048828125,1775.8499755859375,1774.550048828125,1763.39,53.902379729771546,1769.8900146484375,1794.7019112997664,1745.0781179971086,108138.83333333333,409763,952912,766322,1761,1785.050048828125,BULLISH,17,false
2024-12-06 09:15:00,F,MARUTI,11218,11151,11218,11199.2998046875,11139.55,55.98884869861686,11133.669970703126,11235.309748335478,11032.030193070774,17374.333333333332,35129,56229,61276,11121,11375.9501953125,BULLISH,2,true
2024-12-06 09:15:00,F,ULTRACEMCO,11954.900390625,11855,11954.900390625,11859.9501953125,11833.52,50.41612901939304,11845.4099609375,11986.14875973242,11704.671162142582,8054.958333333333,36896,59478,50314,11818,11956.349609375,BULLISH,5,false
2024-12-06 09:15:00,F,ONGC,262.3500061035156,259.6000061035156,260.75,261.45001220703125,260.62,53.264465425570386,260.26750030517576,263.91965797845205,256.61534263189947,365784.5416666667,896157,1490407,1512981,259.54998779296875,263,BEARISH,31,false
